Level,Subject,Awarded Count 2025,Awarded Count 2024,Awarded Count 2023,Awarded Count 2022,Awarded Count 2021,Awarded Count 2020,Awarded Count 2019
SCQF2,Total - SCQF2,55,90,85,45,65,65,50
SCQF3,Total - SCQF3,240,175,80,100,70,125,95
SCQF4,Total - SCQF4,3  725,3  545,3  150,2  875,2  285,2  260,2  295
SCQF5,Total - SCQF5,10  125,7  990,6  155,5  485,3  735,3  930,3  645
SCQF6,Total - SCQF6,8  315,6  705,4  820,4  185,3  810,3  420,2  205
